item_id,item_name,category,risk_summary,recommended_action,decision_reason,priority_score
HGP-009,병동 라벨지,MRO,데이터 정비 필요,data_cleanup_first,데이터 품질 점수가 낮아 계약/소싱 판단보다 품목·공급사·단가 데이터 정비가 우선입니다.,0.84
HGP-018,소독 와이프,MRO,"데이터 정비 필요, 가격 압박 높음, 공급사 집중 위험, 납기 위험, 긴급구매 비중 높음, 재고부족 위험 높음",data_cleanup_first,데이터 품질 점수가 낮아 계약/소싱 판단보다 품목·공급사·단가 데이터 정비가 우선입니다.,0.8
HGP-012,멸균 포장재,진료재료,"데이터 정비 필요, 가격 압박 높음, 긴급구매 비중 높음",data_cleanup_first,데이터 품질 점수가 낮아 계약/소싱 판단보다 품목·공급사·단가 데이터 정비가 우선입니다.,0.76
HGP-016,수술 드레이프,진료재료,"가격 압박 높음, 납기 위험, 긴급구매 비중 높음, 재고부족 위험 높음",rebid,연간 구매금액과 시장가 압박이 높아 재입찰 또는 가격 재검토가 필요합니다.,0.43
HGP-003,수액 세트,진료재료,"가격 압박 높음, 납기 위험",rebid,연간 구매금액과 시장가 압박이 높아 재입찰 또는 가격 재검토가 필요합니다.,0.396
HGP-001,수술용 장갑,진료재료,가격 압박 높음,rebid,연간 구매금액과 시장가 압박이 높아 재입찰 또는 가격 재검토가 필요합니다.,0.383
HGP-005,혈당 시험지,검사재료,"가격 압박 높음, 공급사 집중 위험, 납기 위험, 재고부족 위험 높음",rebid,연간 구매금액과 시장가 압박이 높아 재입찰 또는 가격 재검토가 필요합니다.,0.362
HGP-010,일회용 센서 패드,장비소모품,"가격 압박 높음, 공급사 집중 위험, 납기 위험, 긴급구매 비중 높음, 재고부족 위험 높음",rebid,연간 구매금액과 시장가 압박이 높아 재입찰 또는 가격 재검토가 필요합니다.,0.327
HGP-004,검체 튜브,검사재료,"공급사 집중 위험, 납기 위험, 긴급구매 비중 높음, 재고부족 위험 높음",dual_source,공급사 의존도가 높고 납기 안정성이 낮아 공급사 이원화 검토가 필요합니다.,0.273
HGP-014,검사 키트 트레이,검사재료,"가격 압박 높음, 공급사 집중 위험, 납기 위험, 긴급구매 비중 높음",dual_source,공급사 의존도가 높고 납기 안정성이 낮아 공급사 이원화 검토가 필요합니다.,0.266
HGP-007,내시경 세척 브러시,장비소모품,"가격 압박 높음, 긴급구매 비중 높음",standardize_item,긴급구매 비중이 높고 표준화 가능성이 높아 표준품목 전환 검토가 필요합니다.,0.142
HGP-011,채혈 바늘,진료재료,주요 위험 낮음,monitor_risk,주요 위험 신호는 낮지만 납기·가격·재고 지표를 지속 모니터링해야 합니다.,0.067
HGP-017,초음파 젤,장비소모품,가격 압박 높음,monitor_risk,주요 위험 신호는 낮지만 납기·가격·재고 지표를 지속 모니터링해야 합니다.,0.064
HGP-002,멸균 거즈,진료재료,주요 위험 낮음,maintain_contract,"가격, 납기, 공급 안정성이 양호하여 기존 계약 유지가 가능합니다.",0.04
HGP-006,청진기 소모품,장비소모품,주요 위험 낮음,maintain_contract,"가격, 납기, 공급 안정성이 양호하여 기존 계약 유지가 가능합니다.",0.04
HGP-008,프린터 토너,MRO,주요 위험 낮음,maintain_contract,"가격, 납기, 공급 안정성이 양호하여 기존 계약 유지가 가능합니다.",0.04
HGP-013,시약 보관 박스,검사재료,주요 위험 낮음,maintain_contract,"가격, 납기, 공급 안정성이 양호하여 기존 계약 유지가 가능합니다.",0.04
HGP-015,환자 팔찌,MRO,주요 위험 낮음,maintain_contract,"가격, 납기, 공급 안정성이 양호하여 기존 계약 유지가 가능합니다.",0.04
